IP:PORT, LOSS, DELAY
162.159.192.83:1387,0.00%,153 ms
162.159.192.50:1018,0.00%,158 ms
162.159.195.205:7152,0.00%,159 ms
162.159.192.52:4198,0.00%,159 ms
162.159.195.57:8854,0.00%,162 ms
162.159.192.106:4198,0.00%,162 ms
162.159.195.187:4177,0.00%,166 ms
162.159.195.146:955,0.00%,166 ms
162.159.195.208:4177,0.00%,167 ms
162.159.192.19:942,0.00%,168 ms
162.159.192.83:946,0.00%,168 ms
162.159.192.72:1387,0.00%,169 ms
162.159.192.90:946,0.00%,169 ms
162.159.192.98:4198,0.00%,169 ms
162.159.192.106:1387,0.00%,170 ms
162.159.192.56:880,0.00%,171 ms
162.159.192.138:1070,0.00%,171 ms
162.159.192.26:1018,0.00%,171 ms
162.159.195.76:1074,0.00%,172 ms
162.159.192.120:4198,0.00%,172 ms
162.159.195.220:3581,0.00%,173 ms
162.159.195.38:934,0.00%,173 ms
162.159.192.201:908,0.00%,173 ms
162.159.195.158:500,0.00%,177 ms
162.159.195.238:891,0.00%,195 ms
162.159.195.164:942,0.00%,197 ms
162.159.195.228:946,0.00%,198 ms
162.159.195.85:1074,0.00%,202 ms
162.159.192.61:880,0.00%,202 ms
162.159.195.153:942,0.00%,202 ms
162.159.195.65:8742,0.00%,203 ms
162.159.195.208:7152,0.00%,204 ms
162.159.192.225:890,0.00%,204 ms
162.159.195.161:500,0.00%,204 ms
162.159.192.165:8319,0.00%,206 ms
162.159.195.55:8742,0.00%,208 ms
162.159.195.222:946,0.00%,208 ms
162.159.192.247:864,0.00%,209 ms
162.159.195.187:7152,0.00%,209 ms
162.159.195.71:1074,0.00%,209 ms
162.159.195.224:3581,0.00%,209 ms
162.159.192.37:942,0.00%,209 ms
162.159.195.1:939,0.00%,210 ms
162.159.192.93:946,0.00%,210 ms
162.159.192.81:1387,0.00%,210 ms
162.159.195.3:864,0.00%,210 ms
162.159.195.155:942,0.00%,211 ms
162.159.192.81:946,0.00%,211 ms
162.159.192.185:8886,0.00%,211 ms
162.159.192.87:946,0.00%,211 ms
162.159.195.39:934,0.00%,212 ms
162.159.192.191:908,0.00%,214 ms
162.159.195.82:1074,0.00%,215 ms
162.159.192.183:934,0.00%,215 ms
162.159.195.72:890,0.00%,215 ms
162.159.195.139:1387,0.00%,215 ms
162.159.192.37:1018,0.00%,215 ms
162.159.192.150:3138,0.00%,216 ms
162.159.195.43:5956,0.00%,216 ms
162.159.192.92:1387,0.00%,216 ms
162.159.195.92:4198,0.00%,217 ms
162.159.192.80:1387,0.00%,217 ms
162.159.192.249:864,0.00%,217 ms
162.159.192.19:1018,0.00%,217 ms
162.159.195.59:8854,0.00%,218 ms
162.159.195.132:1387,0.00%,218 ms
162.159.195.22:4198,0.00%,218 ms
162.159.195.52:8854,0.00%,218 ms
162.159.195.21:4198,0.00%,218 ms
162.159.195.174:8742,0.00%,219 ms
162.159.195.175:8742,0.00%,219 ms
162.159.195.111:8886,0.00%,219 ms
162.159.192.99:1387,0.00%,219 ms
162.159.195.112:2371,0.00%,220 ms
162.159.192.98:1387,0.00%,220 ms
162.159.192.209:890,0.00%,220 ms
162.159.192.152:1070,0.00%,220 ms
162.159.195.48:8854,0.00%,221 ms
162.159.195.242:8886,0.00%,221 ms
162.159.192.170:987,0.00%,221 ms
162.159.192.157:8319,0.00%,221 ms
162.159.192.160:987,0.00%,221 ms
162.159.192.58:4198,0.00%,222 ms
162.159.195.38:5956,0.00%,222 ms
162.159.192.160:8319,0.00%,222 ms
162.159.195.20:2371,0.00%,222 ms
162.159.195.105:903,0.00%,223 ms
162.159.195.52:8742,0.00%,223 ms
162.159.192.87:1387,0.00%,224 ms
162.159.195.160:942,0.00%,224 ms
162.159.192.113:4198,0.00%,225 ms
162.159.192.78:946,0.00%,225 ms
162.159.192.178:934,0.00%,225 ms
162.159.195.244:891,0.00%,226 ms
162.159.195.60:8742,0.00%,226 ms
162.159.192.17:942,0.00%,227 ms
162.159.192.172:987,0.00%,228 ms
162.159.195.206:4177,0.00%,228 ms
162.159.192.75:1387,0.00%,228 ms
162.159.192.101:4198,0.00%,229 ms
162.159.195.166:942,0.00%,230 ms
162.159.192.228:5279,0.00%,232 ms
162.159.192.148:3138,0.00%,233 ms
162.159.192.12:942,10.00%,239 ms
162.159.192.205:908,10.00%,242 ms
162.159.192.236:5279,10.00%,243 ms
162.159.195.94:4198,10.00%,243 ms
162.159.192.94:946,10.00%,246 ms
162.159.192.222:928,10.00%,247 ms
162.159.192.65:880,10.00%,248 ms
162.159.195.237:946,10.00%,249 ms
162.159.192.204:891,10.00%,249 ms
162.159.192.140:1070,10.00%,250 ms
162.159.195.202:7152,10.00%,250 ms
162.159.195.108:8886,10.00%,251 ms
162.159.192.205:891,10.00%,252 ms
162.159.192.194:891,10.00%,252 ms
162.159.195.83:890,10.00%,254 ms
162.159.195.250:891,10.00%,256 ms
162.159.195.87:1074,10.00%,257 ms
162.159.192.214:928,10.00%,259 ms
162.159.192.26:942,10.00%,268 ms
162.159.192.170:8319,10.00%,269 ms
